=== RUN   TestHandler
2024/08/08 13:32:47 Processing S3 object from bucket nextjsblog619f9308251149be95e1a59d89c85e5e233823-dev with key private/us-east-1:d0793677-36a8-4f9d-96aa-af199ce7dd0f/uploads/RCC_Tahuya.fit
2024-08-03 14:07:33 +0000 UTC
Edge840
Activity
time: 2024-08-03 14:09:29 +0000 UTC, lat: 47.61256, long: -122.35069, power: 203, cadence: 79, distance: 94710
time: 2024-08-03 14:09:30 +0000 UTC, lat: 47.61253, long: -122.35061, power: 198, cadence: 79, distance: 95430
time: 2024-08-03 14:09:31 +0000 UTC, lat: 47.61248, long: -122.35055, power: 80, cadence: 70, distance: 96114
time: 2024-08-03 14:09:32 +0000 UTC, lat: 47.61244, long: -122.35048, power: 0, cadence: 70, distance: 96763
time: 2024-08-03 14:09:33 +0000 UTC, lat: 47.61240, long: -122.35042, power: 0, cadence: 70, distance: 97411
time: 2024-08-03 14:09:34 +0000 UTC, lat: 47.61237, long: -122.35036, power: 0, cadence: 26, distance: 98013
time: 2024-08-03 14:09:35 +0000 UTC, lat: 47.61233, long: -122.35031, power: 0, cadence: 26, distance: 98564
time: 2024-08-03 14:09:36 +0000 UTC, lat: 47.61230, long: -122.35026, power: 89, cadence: 44, distance: 99090
time: 2024-08-03 14:09:37 +0000 UTC, lat: 47.61227, long: -122.35020, power: 274, cadence: 77, distance: 99633
time: 2024-08-03 14:09:38 +0000 UTC, lat: 47.61224, long: -122.35014, power: 100, cadence: 75, distance: 100232
time: 2024-08-03 14:09:39 +0000 UTC, lat: 47.61220, long: -122.35007, power: 0, cadence: 75, distance: 100829
time: 2024-08-03 14:09:40 +0000 UTC, lat: 47.61217, long: -122.35001, power: 0, cadence: 75, distance: 101399
time: 2024-08-03 14:09:41 +0000 UTC, lat: 47.61213, long: -122.34996, power: 0, cadence: 0, distance: 101951
time: 2024-08-03 14:09:42 +0000 UTC, lat: 47.61211, long: -122.34991, power: 0, cadence: 0, distance: 102461
